LOAD DATASET
read csv...ready [31.107 sec] !
Xy convertion...
ready [0.519 sec] !
SPLIT DATASET
ready [2.131 sec]!
train: 64340, 64340, Counter({3: 19180, 1: 17014, 2: 15099, 0: 13047})
eval: 16086, 16086, Counter({3: 4795, 1: 4254, 2: 3775, 0: 3262})
START TRAINING
224:	learn: 0.9315045	test: 0.8574537	best: 0.8578267 (212)	total: 3.96s	remaining: 13.6s
225:	learn: 0.9317843	test: 0.8572672	best: 0.8578267 (212)	total: 3.98s	remaining: 13.6s
226:	learn: 0.9320796	test: 0.8571429	best: 0.8578267 (212)	total: 3.99s	remaining: 13.6s
227:	learn: 0.9324681	test: 0.8578267	best: 0.8578267 (212)	total: 4.01s	remaining: 13.6s
228:	learn: 0.9327168	test: 0.8578888	best: 0.8578888 (228)	total: 4.03s	remaining: 13.6s
229:	learn: 0.9330743	test: 0.8581997	best: 0.8581997 (229)	total: 4.05s	remaining: 13.5s
230:	learn: 0.9331675	test: 0.8585727	best: 0.8585727 (230)	total: 4.06s	remaining: 13.5s
231:	learn: 0.9332608	test: 0.8596917	best: 0.8596917 (231)	total: 4.08s	remaining: 13.5s
232:	learn: 0.9337115	test: 0.8594430	best: 0.8596917 (231)	total: 4.09s	remaining: 13.5s
233:	learn: 0.9338825	test: 0.8591943	best: 0.8596917 (231)	total: 4.11s	remaining: 13.4s
234:	learn: 0.9340690	test: 0.8591322	best: 0.8596917 (231)	total: 4.13s	remaining: 13.4s
235:	learn: 0.9342711	test: 0.8600647	best: 0.8600647 (235)	total: 4.14s	remaining: 13.4s
236:	learn: 0.9347062	test: 0.8595052	best: 0.8600647 (235)	total: 4.16s	remaining: 13.4s
237:	learn: 0.9350171	test: 0.8595052	best: 0.8600647 (235)	total: 4.18s	remaining: 13.4s
238:	learn: 0.9352813	test: 0.8600025	best: 0.8600647 (235)	total: 4.2s	remaining: 13.4s
239:	learn: 0.9349394	test: 0.8601890	best: 0.8601890 (239)	total: 4.21s	remaining: 13.3s
240:	learn: 0.9350482	test: 0.8603133	best: 0.8603133 (240)	total: 4.23s	remaining: 13.3s
241:	learn: 0.9356233	test: 0.8601890	best: 0.8603133 (240)	total: 4.24s	remaining: 13.3s
242:	learn: 0.9359496	test: 0.8595052	best: 0.8603133 (240)	total: 4.26s	remaining: 13.3s
243:	learn: 0.9361983	test: 0.8591943	best: 0.8603133 (240)	total: 4.28s	remaining: 13.2s
244:	learn: 0.9364004	test: 0.8595052	best: 0.8603133 (240)	total: 4.29s	remaining: 13.2s
